Name,Label,Domain,Range,URI,Count
foaf:depiction,depiction from http://xmlns.com/foaf/spec/#term_depiction,owl:Thing,Image,http://dbpedia.org/ontology/foaf:depiction,0
foaf:familyName,family name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/foaf:familyName,0
foaf:gender,gender,owl:Thing,xsd:string,http://dbpedia.org/ontology/foaf:gender,0
foaf:givenName,given name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/foaf:givenName,0
foaf:homepage,homepage,owl:Thing,Website,http://dbpedia.org/ontology/foaf:homepage,0
foaf:img,image,owl:Thing,owl:Thing,http://dbpedia.org/ontology/foaf:img,0
foaf:isPrimaryTopicOf,A document that this thing is the primary topic of.,owl:Thing,foaf:Document,http://dbpedia.org/ontology/foaf:isPrimaryTopicOf,0
foaf:logo,logo,owl:Thing,owl:Thing,http://dbpedia.org/ontology/foaf:logo,0
foaf:mbox,Email address (mbox),owl:Thing,xsd:string,http://dbpedia.org/ontology/foaf:mbox,0
foaf:name,name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/foaf:name,0
foaf:nick,nickname,owl:Thing,rdf:langString,http://dbpedia.org/ontology/foaf:nick,0
foaf:page,A page or document about this thing.,owl:Thing,foaf:Document,http://dbpedia.org/ontology/foaf:page,0
foaf:phone,Telephone (phone) number,owl:Thing,xsd:string,http://dbpedia.org/ontology/foaf:phone,0
foaf:surname,surname,owl:Thing,rdf:langString,http://dbpedia.org/ontology/foaf:surname,0
foaf:thumbnail,thumbnail,owl:Thing,Image,http://dbpedia.org/ontology/foaf:thumbnail,0
foaf:topic,A topic of some page or document.,owl:Thing,owl:Thing,http://dbpedia.org/ontology/foaf:topic,0
focus,focus,owl:Thing,owl:Thing,http://dbpedia.org/ontology/focus,10
followedBy,followed by,owl:Thing,owl:Thing,http://dbpedia.org/ontology/followedBy,0
follows,follows,owl:Thing,owl:Thing,http://dbpedia.org/ontology/follows,0
forces,forces,owl:Thing,xsd:string,http://dbpedia.org/ontology/forces,0
foresterDistrict,foresterDistrict,Place,owl:Thing,http://dbpedia.org/ontology/foresterDistrict,0
format,format (object),owl:Thing,owl:Thing,http://dbpedia.org/ontology/format,23883
formerName,former name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/formerName,19554
foundedBy,founded by,owl:Thing,Agent,http://dbpedia.org/ontology/foundedBy,17333
founder,founder,owl:Thing,Person,http://dbpedia.org/ontology/founder,2167
foundingDate,founding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/foundingDate,38091
foundingYear,founding year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/foundingYear,107281
frequency,frequency,owl:Thing,Frequency,http://dbpedia.org/ontology/frequency,15600
