Name,Label,Domain,Range,URI,Count
sourceElevation,source elevation,owl:Thing,Length,http://dbpedia.org/ontology/sourceElevation,1
sourceMountain,source mountain,owl:Thing,Mountain,http://dbpedia.org/ontology/sourceMountain,2
sourcePlace,source place,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/sourcePlace,2
sourcePosition,source position,owl:Thing,geo:SpatialThing,http://dbpedia.org/ontology/sourcePosition,1
speaker,speaker,owl:Thing,xsd:integer,http://dbpedia.org/ontology/speaker,37
specialist,specialist,owl:Thing,PersonFunction,http://dbpedia.org/ontology/specialist,292
specialization,specialization,owl:Thing,owl:Thing,http://dbpedia.org/ontology/specialization,22
sport,sport,owl:Thing,Sport,http://dbpedia.org/ontology/sport,3934
sportGoverningBody,sport governing body,owl:Thing,owl:Thing,http://dbpedia.org/ontology/sportGoverningBody,257
stadium,Stadium,owl:Thing,Stadium,http://dbpedia.org/ontology/stadium,3178
startYear,start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/startYear,31
state,state,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/state,44776
status,status,owl:Thing,xsd:string,http://dbpedia.org/ontology/status,56133
subdivision,subdivision,owl:Thing,owl:Thing,http://dbpedia.org/ontology/subdivision,435018
subdivisions,subdivisions,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/subdivisions,2
subregion,subregion,Place,Place,http://dbpedia.org/ontology/subregion,132
subtitle,subtitle,owl:Thing,xsd:string,http://dbpedia.org/ontology/subtitle,443
successfulLaunches,successful launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/successfulLaunches,271
successor,successor,owl:Thing,owl:Thing,http://dbpedia.org/ontology/successor,212248
sudocId,SUDOC id,owl:Thing,xsd:string,http://dbpedia.org/ontology/sudocId,151
synonym,synonym,owl:Thing,xsd:string,http://dbpedia.org/ontology/synonym,62611
taoiseach,taoiseach,owl:Thing,Person,http://dbpedia.org/ontology/taoiseach,862
team,team,owl:Thing,SportsTeam,http://dbpedia.org/ontology/team,1921540
teamSize,team size,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/teamSize,99
televisionSeries,television series,owl:Thing,TelevisionShow,http://dbpedia.org/ontology/televisionSeries,2141
temperature,temperature,owl:Thing,Temperature,http://dbpedia.org/ontology/temperature,329
tennisSurfaceType,type of tennis surface,owl:Thing,xsd:string,http://dbpedia.org/ontology/tennisSurfaceType,6992
termPeriod,term period,owl:Thing,TimePeriod,http://dbpedia.org/ontology/termPeriod,159154
thumbnail,thumbnail,owl:Thing,Image,http://dbpedia.org/ontology/thumbnail,1695460
time,time,owl:Thing,xsd:string,http://dbpedia.org/ontology/time,18917
